"id","area","title","source_type","priority","url","normalized_class","normalized_version_or_date","last_checked","normalization_status","note"
"eng-bench-agencybench","benchmark","AgencyBench","repo","A","https://github.com/GAIR-NLP/AgencyBench","living-repo","GitHub GAIR-NLP/AgencyBench main@ec65324be69e; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-agentbench","benchmark","AgentBench","repo","A","https://github.com/THUDM/AgentBench","living-repo","GitHub THUDM/AgentBench main@d1e4a10db08c; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-agentcompany","benchmark","TheAgentCompany","repo","B","https://github.com/TheAgentCompany/TheAgentCompany","living-repo","GitHub TheAgentCompany/TheAgentCompany main@98b68ef82a47; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-ainativebench","benchmark","AINativeBench","repo","B","https://github.com/AINativeOps/AINativeBench","living-repo","GitHub AINativeOps/AINativeBench main@25542e822421; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-androidworld","benchmark","AndroidWorld","repo","B","https://github.com/google-research/android_world","living-repo","GitHub google-research/android_world main@d9c569f764b3; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-appworld","benchmark","AppWorld","repo","A","https://github.com/StonyBrookNLP/appworld","living-repo","GitHub StonyBrookNLP/appworld main@a072b7a86e7c; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-browsergym","benchmark","BrowserGym","repo","A","https://github.com/ServiceNow/BrowserGym","living-repo","GitHub ServiceNow/BrowserGym main@9e779f087de9; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-gaia","benchmark","GAIA dataset","dataset","A","https://huggingface.co/datasets/gaia-benchmark/GAIA","living-dataset","Hugging Face dataset sha 682dd723ee1e; lastModified 2025-10-28T14:44:54.000Z; checked 2026-06-30","2026-06-30","normalized","Hugging Face dataset metadata captured from official Hub API."
"eng-bench-mind2web","benchmark","Mind2Web","repo","B","https://github.com/OSU-NLP-Group/Mind2Web","living-repo","GitHub OSU-NLP-Group/Mind2Web main@33bd95caeee7; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-osworld-repo","benchmark","OSWorld repo","repo","A","https://github.com/xlang-ai/OSWorld","living-repo","GitHub xlang-ai/OSWorld main@83e8534451ba; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-osworld-site","benchmark","OSWorld site","official-site","A","https://os-world.github.io/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-swebench-repo","benchmark","SWE-bench repo","repo","A","https://github.com/SWE-bench/SWE-bench","living-repo","GitHub SWE-bench/SWE-bench main@f7bbbb2ccdf4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-swebench-site","benchmark","SWE-bench leaderboard","official-site","A","https://www.swebench.com/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-tau","benchmark","tau-bench","repo","A","https://github.com/sierra-research/tau-bench","living-repo","GitHub sierra-research/tau-bench main@59a200c6d575; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-tau2","benchmark","tau2/tau3-bench","repo","A","https://github.com/sierra-research/tau2-bench","living-repo","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-bench-terminal","benchmark","Terminal-Bench","repo","A","https://github.com/harbor-framework/terminal-bench","living-repo","GitHub harbor-framework/terminal-bench main@1a6ffa9674b5; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-terminal-21","benchmark","Terminal-Bench 2.1","repo","A","https://github.com/harbor-framework/terminal-bench-2-1","living-repo","GitHub harbor-framework/terminal-bench-2-1 main@c5ee500c1852; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-visualagentbench","benchmark","VisualAgentBench","repo","B","https://github.com/THUDM/VisualAgentBench","living-repo","GitHub THUDM/VisualAgentBench main@9055fc299c36; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-visualwebarena","benchmark","VisualWebArena","project","A","https://jykoh.com/vwa","living-project-site","VisualWebArena project site; checked 2026-06-30","2026-06-30","normalized","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webarena","benchmark","WebArena","project","A","https://webarena.dev","living-project-site","WebArena project site; checked 2026-06-30","2026-06-30","normalized","Project site is versionless; benchmark adapter should pin dataset/repo separately if normative."
"eng-bench-webvoyager","benchmark","WebVoyager","repo","B","https://github.com/MinorJerry/WebVoyager","living-repo","GitHub MinorJerry/WebVoyager main@5a7896738c10; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-bench-workarena","benchmark","WorkArena","repo","B","https://github.com/ServiceNow/WorkArena","living-repo","GitHub ServiceNow/WorkArena main@a772230a94cf; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-bench","browser-agent","browser-use benchmark","repo","B","https://github.com/browser-use/benchmark","living-repo","GitHub browser-use/benchmark main@dff86d1a3213; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-docs","browser-agent","browser-use docs","official-doc","A","https://docs.browser-use.com/open-source/introduction","living-doc","browser-use docs current; checked 2026-06-30","2026-06-30","normalized","Official browser-use docs are versionless living docs; cite with last_checked date."
"eng-agent-browser-use-repo","browser-agent","browser-use","repo","A","https://github.com/browser-use/browser-use","living-repo","GitHub browser-use/browser-use main@2454d3e25517; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-browser-use-webui","browser-agent","browser-use web-ui","repo","B","https://github.com/browser-use/web-ui","living-repo","GitHub browser-use/web-ui main@61962296c38a; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-midscene","browser-agent","Midscene","repo","B","https://github.com/web-infra-dev/Midscene","living-repo","GitHub web-infra-dev/Midscene main@937ce787a177; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-stagehand","browser-agent","Browserbase Stagehand","repo","B","https://github.com/browserbase/stagehand","living-repo","GitHub browserbase/stagehand main@871ca7e305f4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-tangle-browser-driver","browser-agent","agent-browser-driver","repo","C","https://github.com/tangle-network/agent-browser-driver","living-repo","GitHub tangle-network/agent-browser-driver main@a2055b2e7a7e; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-weboperator","browser-agent","WebOperator","repo","B","https://github.com/kagnlp/WebOperator","living-repo","GitHub kagnlp/WebOperator main@36a88e0da5f4; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-playwright-mcp","browser-tooling","Playwright MCP","repo","A","https://github.com/microsoft/playwright-mcp","living-repo","GitHub microsoft/playwright-mcp main@36ec986b8b1f; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-aider","coding-agent","Aider","repo","B","https://github.com/Aider-AI/aider","living-repo","GitHub Aider-AI/aider main@5dc9490bb35f; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-cline","coding-agent","Cline","repo","B","https://github.com/cline/cline","living-repo","GitHub cline/cline main@dbe15202e1b7; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-continue","coding-agent","Continue","repo","B","https://github.com/continuedev/continue","living-repo","GitHub continuedev/continue main@d0a3c0b626b5; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-mini-swe-agent","coding-agent","mini-SWE-agent","repo","A","https://github.com/SWE-agent/mini-swe-agent","living-repo","GitHub SWE-agent/mini-swe-agent main@408a133f68c3; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-openhands-docs","coding-agent","OpenHands docs","official-doc","A","https://docs.openhands.dev/","living-doc","OpenHands docs current; checked 2026-06-30","2026-06-30","normalized","Official OpenHands docs are versionless living docs; cite with last_checked date."
"eng-code-openhands-repo","coding-agent","OpenHands/OpenHands","repo","A","https://github.com/OpenHands/OpenHands","living-repo","GitHub OpenHands/OpenHands main@0571ff530fa6; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-openhands-sdk","coding-agent","OpenHands software-agent-sdk","repo","A","https://github.com/OpenHands/software-agent-sdk","living-repo","GitHub OpenHands/software-agent-sdk main@c36854513b17; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-roo","coding-agent","Roo Code","repo","B","https://github.com/RooVetGit/Roo-Code","living-repo","GitHub RooVetGit/Roo-Code main@b867ec914575; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-code-swe-agent-repo","coding-agent","SWE-agent","repo","A","https://github.com/SWE-agent/SWE-agent","living-repo","GitHub SWE-agent/SWE-agent main@088b5f1c18bf; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-agent-cua","computer-use","Cua","repo","B","https://github.com/trycua/cua","living-repo","GitHub trycua/cua main@7468487d3034; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-docs-repo","docs","google/adk-docs","repo","A","https://github.com/google/adk-docs","living-repo","GitHub google/adk-docs main@62cca62a092d; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-agenticx","framework","AgenticX","repo","C","https://github.com/clawbundle/AgenticX","living-repo","GitHub clawbundle/AgenticX main@546872d97d0d; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-agno-docs","framework","Agno docs","official-doc","B","https://docs.agno.com/","living-doc","Agno docs current; checked 2026-06-30","2026-06-30","normalized","Official Agno docs are versionless living docs; cite with last_checked date."
"eng-fw-agno-repo","framework","agno-agi/agno","repo","B","https://github.com/agno-agi/agno","living-repo","GitHub agno-agi/agno main@695ff9f9ca28; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-autogen-agentchat","framework","AutoGen AgentChat docs","official-doc","A","https://microsoft.github.io/autogen/stable/user-guide/agentchat-user-guide/index.html","living-doc","AutoGen stable docs; checked 2026-06-30","2026-06-30","normalized","Official AutoGen stable documentation path; cite with last_checked date."
"eng-fw-autogen-core","framework","AutoGen Core docs","official-doc","B","https://microsoft.github.io/autogen/stable/user-guide/core-user-guide/index.html","living-doc","AutoGen stable docs; checked 2026-06-30","2026-06-30","normalized","Official AutoGen stable documentation path; cite with last_checked date."
"eng-fw-autogen-docs","framework","AutoGen docs","official-doc","A","https://microsoft.github.io/autogen/","living-doc","AutoGen docs root; checked 2026-06-30","2026-06-30","normalized","Official AutoGen documentation root is a living page; cite with last_checked date."
"eng-fw-autogen-repo","framework","microsoft/autogen","repo","A","https://github.com/microsoft/autogen","living-repo","GitHub microsoft/autogen main@027ecf0a379b; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-beeai-docs","framework","BeeAI docs","official-doc","B","https://i-am-bee.github.io/beeai-framework/","living-doc","BeeAI Framework docs current; checked 2026-06-30","2026-06-30","normalized","Official BeeAI Framework docs are versionless living docs; cite with last_checked date."
"eng-fw-beeai-repo","framework","i-am-bee/beeai-framework","repo","B","https://github.com/i-am-bee/beeai-framework","living-repo","GitHub i-am-bee/beeai-framework main@7e8c73a1fb21; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-crewai-agents","framework","CrewAI agents","official-doc","A","https://docs.crewai.com/concepts/agents","living-doc","CrewAI current docs; checked 2026-06-30","2026-06-30","normalized","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-docs","framework","CrewAI docs","official-doc","A","https://docs.crewai.com/","living-doc","CrewAI current docs; checked 2026-06-30","2026-06-30","normalized","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-flows","framework","CrewAI flows","official-doc","A","https://docs.crewai.com/concepts/flows","living-doc","CrewAI current docs; checked 2026-06-30","2026-06-30","normalized","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-processes","framework","CrewAI processes","official-doc","B","https://docs.crewai.com/concepts/processes","living-doc","CrewAI current docs; checked 2026-06-30","2026-06-30","normalized","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-crewai-repo","framework","crewAIInc/crewAI","repo","A","https://github.com/crewAIInc/crewAI","living-repo","GitHub crewAIInc/crewAI main@e8dced8a2d53; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-crewai-tasks","framework","CrewAI tasks","official-doc","A","https://docs.crewai.com/concepts/tasks","living-doc","CrewAI current docs; checked 2026-06-30","2026-06-30","normalized","Official CrewAI docs are versionless living docs; cite with last_checked date."
"eng-fw-dspy-docs","framework","DSPy docs","official-doc","A","https://dspy.ai/","living-doc","DSPy current docs; checked 2026-06-30","2026-06-30","normalized","Official DSPy docs are versionless living docs; cite with last_checked date."
"eng-fw-dspy-repo","framework","stanfordnlp/dspy","repo","B","https://github.com/stanfordnlp/dspy","living-repo","GitHub stanfordnlp/dspy main@498760149b23; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-a2a-example","framework","Google ADK + A2A cross-language example","official-blog","B","https://developers.googleblog.com/build-cross-language-multi-agent-team-with-google-agent-development-kit-and-a2a/","living-doc","Google Developers Blog, 2026-06-22; checked 2026-06-30","2026-06-30","normalized","Official Google Developers Blog article date verified; use only as adapter example evidence, not protocol normative source."
"eng-fw-google-adk-docs","framework","Google ADK docs","official-doc","A","https://google.github.io/adk-docs/","living-doc","Google ADK docs current; checked 2026-06-30","2026-06-30","normalized","Official Google ADK docs are versionless living docs; cite with last_checked date."
"eng-fw-google-adk-repo","framework","google/adk-python","repo","A","https://github.com/google/adk-python/","living-repo","GitHub google/adk-python main@46dadbeb1f83; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-google-adk-ts","framework","ADK TypeScript docs","official-doc","B","https://adk.dev/get-started/typescript/","living-doc","Google ADK TypeScript docs current; checked 2026-06-30","2026-06-30","normalized","Official ADK TypeScript documentation; cite with last_checked date."
"eng-fw-haystack-agents","framework","Haystack agents docs","official-doc","B","https://docs.haystack.deepset.ai/docs/agents","living-doc","Haystack agents docs current; checked 2026-06-30","2026-06-30","normalized","Official Haystack agents docs; cite with last_checked date."
"eng-fw-haystack-repo","framework","deepset-ai/haystack","repo","B","https://github.com/deepset-ai/haystack","living-repo","GitHub deepset-ai/haystack main@715ffcbd8086; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-langchain-agents","framework","LangChain agents","official-doc","A","https://docs.langchain.com/oss/python/langchain/agents","living-doc","LangChain OSS Python agents docs; checked 2026-06-30","2026-06-30","normalized","Official LangChain living docs; cite with last_checked date."
"eng-fw-langchain-repo","framework","langchain-ai/langchain","repo","B","https://github.com/langchain-ai/langchain","living-repo","GitHub langchain-ai/langchain master@a6612179da96; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-llamaindex-agents","framework","LlamaIndex agents docs","official-doc","A","https://docs.llamaindex.ai/en/stable/module_guides/deploying/agents/","living-doc","LlamaIndex stable docs; checked 2026-06-30","2026-06-30","normalized","Official LlamaIndex stable documentation path; cite with last_checked date."
"eng-fw-llamaindex-repo","framework","run-llama/llama_index","repo","B","https://github.com/run-llama/llama_index","living-repo","GitHub run-llama/llama_index main@5891d5f4f3e9; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-maf-migration-autogen","framework","Migration from AutoGen","official-doc","B","https://learn.microsoft.com/en-us/agent-framework/migration-guide/from-autogen","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","2026-06-30","normalized","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-mastra-docs","framework","Mastra docs","official-doc","A","https://mastra.ai/","living-doc","Mastra docs current; checked 2026-06-30","2026-06-30","normalized","Official Mastra docs are versionless living docs; cite with last_checked date."
"eng-fw-mastra-repo","framework","mastra-ai/mastra","repo","B","https://github.com/mastra-ai/mastra","living-repo","GitHub mastra-ai/mastra main@90aeb8b30d2b; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-microsoft-agent-framework-current","framework","microsoft/agent-framework","repo","A","https://github.com/microsoft/agent-framework","living-repo","GitHub microsoft/agent-framework main@4cb1a6651d9c; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-agents-guide","framework","OpenAI Agents guide","official-doc","A","https://developers.openai.com/api/docs/guides/agents","living-doc","OpenAI official docs; checked 2026-06-30","2026-06-30","normalized","Official OpenAI documentation; versionless living docs, cite with last_checked date."
"eng-fw-openai-agents-js","framework","openai-agents-js","repo","A","https://github.com/openai/openai-agents-js","living-repo","GitHub openai/openai-agents-js main@82e583cc050d; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-agents-release","framework","openai-agents-python releases","repo/release","A","https://github.com/openai/openai-agents-python/releases","living-release-index","Release index for openai/openai-agents-python; repo main@7713342bedf3; checked 2026-06-30","2026-06-30","normalized","GitHub releases index normalized against repository HEAD; pin concrete release tag before using as normative schema evidence."
"eng-fw-openai-handoffs","framework","OpenAI handoffs docs","official-doc","A","https://openai.github.io/openai-agents-python/handoffs/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-fw-openai-js-repo","framework","openai-agents-js","repo","A","https://github.com/openai/openai-agents-js","living-repo","GitHub openai/openai-agents-js main@82e583cc050d; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-orchestration","framework","OpenAI orchestration and handoffs","official-doc","A","https://developers.openai.com/api/docs/guides/agents/orchestration","living-doc","OpenAI official docs; checked 2026-06-30","2026-06-30","normalized","Official OpenAI documentation; versionless living docs, cite with last_checked date."
"eng-fw-openai-python-docs","framework","OpenAI Agents SDK Python docs","official-doc","A","https://openai.github.io/openai-agents-python/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-fw-openai-python-repo","framework","openai-agents-python","repo","A","https://github.com/openai/openai-agents-python/","living-repo","GitHub openai/openai-agents-python main@7713342bedf3; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-openai-tools","framework","OpenAI tools docs","official-doc","A","https://openai.github.io/openai-agents-python/tools/","living-doc","checked 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-fw-pydantic-ai-agents","framework","Pydantic AI agents","official-doc","A","https://pydantic.dev/docs/ai/core-concepts/agent/","living-doc","Pydantic AI docs current; checked 2026-06-30","2026-06-30","normalized","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-docs","framework","Pydantic AI docs","official-doc","A","https://pydantic.dev/docs/ai/overview/","living-doc","Pydantic AI docs current; checked 2026-06-30","2026-06-30","normalized","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-repo","framework","pydantic/pydantic-ai","repo","A","https://github.com/pydantic/pydantic-ai/","living-repo","GitHub pydantic/pydantic-ai main@abd3e6e6344e; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-semantic-kernel-agents","framework","Semantic Kernel agents","official-doc","B","https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/","living-doc","Microsoft Semantic Kernel agents docs; checked 2026-06-30","2026-06-30","normalized","Microsoft Learn Semantic Kernel living docs; cite with last_checked date."
"eng-fw-semantic-kernel-repo","framework","microsoft/semantic-kernel","repo","B","https://github.com/microsoft/semantic-kernel","living-repo","GitHub microsoft/semantic-kernel main@dfc522722735; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-smolagents-docs","framework","smolagents docs","official-doc","A","https://huggingface.co/docs/smolagents/index","living-doc","smolagents docs current; checked 2026-06-30","2026-06-30","normalized","Official Hugging Face smolagents docs; cite with last_checked date."
"eng-fw-smolagents-repo","framework","huggingface/smolagents","repo","A","https://github.com/huggingface/smolagents","living-repo","GitHub huggingface/smolagents main@526069c1ead9; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-strands-docs","framework","Strands Agents docs","official-doc","A","https://strandsagents.com/","living-doc","Strands Agents docs current; checked 2026-06-30","2026-06-30","normalized","Official Strands Agents docs are versionless living docs; cite with last_checked date."
"eng-fw-strands-repo","framework","strands-agents/sdk-python","repo","A","https://github.com/strands-agents/sdk-python","living-repo","GitHub strands-agents/sdk-python main@4809e9dbf0cd; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-agents","framework","Vercel AI SDK agents","official-doc","A","https://sdk.vercel.ai/docs/agents/overview","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","2026-06-30","normalized","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-vercel-ai-repo","framework","vercel/ai","repo","A","https://github.com/vercel/ai","living-repo","GitHub vercel/ai main@11ee77873a5f; checked 2026-06-30","2026-06-30","normalized","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-ai-sdk-docs","framework","Vercel AI SDK docs","official-doc","A","https://v6.ai-sdk.dev/docs/introduction","living-doc","Vercel AI SDK v6 docs; checked 2026-06-30","2026-06-30","normalized","Versioned v6 AI SDK docs path; cite as v6 documentation."
"eng-fw-vercel-subagents","framework","Vercel AI SDK subagents","official-doc","B","https://sdk.vercel.ai/docs/agents/subagents","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","2026-06-30","normalized","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-langgraph-docs","framework-runtime","LangGraph docs","official-doc","A","https://docs.langchain.com/oss/python/langgraph/overview","living-doc","checked via Context7 2026-06-30","2026-06-30","normalized","Can be cited for post-Phase-0 decision at stated granularity."
"eng-fw-langgraph-graph-api","framework-runtime","LangGraph Graph API","official-doc","A","https://docs.langchain.com/oss/python/langgraph/graph-api","living-doc","LangGraph OSS Python graph API docs; checked 2026-06-30","2026-06-30","normalized","Official LangGraph graph API living docs; cite with last_checked date."
