"id","area","source_type","priority","schema_impact","url","pre_status","post_status","normalized_class","normalized_version_or_date","normalization_basis","note"
"eng-fw-openai-orchestration","framework","official-doc","A","field-schema-or-adapter-contract","https://developers.openai.com/api/docs/guides/agents/orchestration","previously_unverified","normalized","living-doc","OpenAI official docs; checked 2026-06-30","official-doc-url-normalization","Official OpenAI documentation; versionless living docs, cite with last_checked date."
"eng-fw-openai-python-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/openai/openai-agents-python/","previously_unverified","normalized","living-repo","GitHub openai/openai-agents-python main@7713342bedf3; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-pydantic-ai-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://pydantic.dev/docs/ai/core-concepts/agent/","previously_unverified","normalized","living-doc","Pydantic AI docs current; checked 2026-06-30","official-doc-url-normalization","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://pydantic.dev/docs/ai/overview/","previously_unverified","normalized","living-doc","Pydantic AI docs current; checked 2026-06-30","official-doc-url-normalization","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
"eng-fw-pydantic-ai-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/pydantic/pydantic-ai/","previously_unverified","normalized","living-repo","GitHub pydantic/pydantic-ai main@abd3e6e6344e; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-semantic-kernel-agents","framework","official-doc","B","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/semantic-kernel/frameworks/agent/","previously_unverified","normalized","living-doc","Microsoft Semantic Kernel agents docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Semantic Kernel living docs; cite with last_checked date."
"eng-fw-semantic-kernel-repo","framework","repo","B","field-schema-or-adapter-contract","https://github.com/microsoft/semantic-kernel","previously_unverified","normalized","living-repo","GitHub microsoft/semantic-kernel main@dfc522722735; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-smolagents-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://huggingface.co/docs/smolagents/index","previously_unverified","normalized","living-doc","smolagents docs current; checked 2026-06-30","official-doc-url-normalization","Official Hugging Face smolagents docs; cite with last_checked date."
"eng-fw-smolagents-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/huggingface/smolagents","previously_unverified","normalized","living-repo","GitHub huggingface/smolagents main@526069c1ead9; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-strands-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://strandsagents.com/","previously_unverified","normalized","living-doc","Strands Agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Strands Agents docs are versionless living docs; cite with last_checked date."
"eng-fw-strands-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/strands-agents/sdk-python","previously_unverified","normalized","living-repo","GitHub strands-agents/sdk-python main@4809e9dbf0cd; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-agents","framework","official-doc","A","field-schema-or-adapter-contract","https://sdk.vercel.ai/docs/agents/overview","previously_unverified","normalized","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-vercel-ai-repo","framework","repo","A","field-schema-or-adapter-contract","https://github.com/vercel/ai","previously_unverified","normalized","living-repo","GitHub vercel/ai main@11ee77873a5f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-vercel-ai-sdk-docs","framework","official-doc","A","field-schema-or-adapter-contract","https://v6.ai-sdk.dev/docs/introduction","previously_unverified","normalized","living-doc","Vercel AI SDK v6 docs; checked 2026-06-30","official-doc-url-normalization","Versioned v6 AI SDK docs path; cite as v6 documentation."
"eng-fw-vercel-subagents","framework","official-doc","B","field-schema-or-adapter-contract","https://sdk.vercel.ai/docs/agents/subagents","previously_unverified","normalized","living-doc","Vercel AI SDK agents docs current; checked 2026-06-30","official-doc-url-normalization","Official Vercel AI SDK agents docs; cite with last_checked date."
"eng-fw-langgraph-graph-api","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/python/langgraph/graph-api","previously_unverified","normalized","living-doc","LangGraph OSS Python graph API docs; checked 2026-06-30","official-doc-url-normalization","Official LangGraph graph API living docs; cite with last_checked date."
"eng-fw-langgraph-js","framework-runtime","repo","B","field-schema-or-adapter-contract","https://github.com/langchain-ai/langgraphjs","previously_unverified","normalized","living-repo","GitHub langchain-ai/langgraphjs main@e1b40c29e14f; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-langgraph-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/langchain-ai/langgraph","previously_unverified","normalized","living-repo","GitHub langchain-ai/langgraph main@5931a5f0b313; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-llamaindex-workflows","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.llamaindex.ai/en/stable/module_guides/workflow/","previously_unverified","normalized","living-doc","LlamaIndex stable docs; checked 2026-06-30","official-doc-url-normalization","Official LlamaIndex stable documentation path; cite with last_checked date."
"eng-fw-maf-workflows","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/agent-framework/workflows/","previously_unverified","normalized","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-mcp-agent-docs","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://docs.mcp-agent.com/mcp-agent-sdk/overview","previously_unverified","normalized","living-doc","mcp-agent SDK docs current; checked 2026-06-30","official-doc-url-normalization","Official mcp-agent docs are versionless living docs; cite with last_checked date."
"eng-fw-mcp-agent-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/lastmile-ai/mcp-agent","previously_unverified","normalized","living-repo","GitHub lastmile-ai/mcp-agent main@f62d84935081; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-microsoft-agent-framework-docs","framework-runtime","official-doc","A","field-schema-or-adapter-contract","https://learn.microsoft.com/en-us/agent-framework/overview/","previously_unverified","normalized","living-doc","Microsoft Agent Framework docs; checked 2026-06-30","official-doc-url-normalization","Microsoft Learn Agent Framework living docs; cite with last_checked date."
"eng-fw-microsoft-agent-framework-repo","framework-runtime","repo","A","field-schema-or-adapter-contract","https://github.com/microsoft/agent-framework","previously_unverified","normalized","living-repo","GitHub microsoft/agent-framework main@4cb1a6651d9c; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-ui-tars","gui-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/bytedance/UI-TARS/","previously_unverified","normalized","living-repo","GitHub bytedance/UI-TARS main@582f3a7ea5d2; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-agent-ui-tars-desktop","gui-agent","repo","A","adjacent-agent-schema-evidence","https://github.com/bytedance/UI-TARS-desktop","previously_unverified","normalized","living-repo","GitHub bytedance/UI-TARS-desktop main@e9f3387288da; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-deepagents-docs","harness","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/python/deepagents/overview","previously_unverified","normalized","living-doc","Deep Agents Python docs; checked 2026-06-30","official-doc-url-normalization","Official LangChain Deep Agents Python docs; cite with last_checked date."
"eng-fw-deepagents-js-docs","harness","official-doc","A","field-schema-or-adapter-contract","https://docs.langchain.com/oss/javascript/deepagents/overview","previously_unverified","normalized","living-doc","Deep Agents JavaScript docs; checked 2026-06-30","official-doc-url-normalization","Official LangChain Deep Agents JS docs; cite with last_checked date."
"eng-fw-deepagents-repo","harness","repo","B","field-schema-or-adapter-contract","https://github.com/langchain-ai/deepagents","previously_unverified","normalized","living-repo","GitHub langchain-ai/deepagents main@14a0fb119e4d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-fw-langsmith-docs","observability","official-doc","B","field-schema-or-adapter-contract","https://docs.smith.langchain.com/","previously_unverified","normalized","living-doc","LangSmith docs current; checked 2026-06-30","official-doc-url-normalization","Official LangSmith docs are versionless living docs; cite with last_checked date."
"eng-proto-a2a-docs","protocol","official-doc","A","field-schema-or-adapter-contract","https://a2a-protocol.org/dev/","previously_unverified","normalized","living-doc","A2A dev docs; checked 2026-06-30","official-version-map","Official A2A dev documentation; versionless living docs, cite with last_checked date."
"eng-proto-a2a-repo","protocol","repo","A","field-schema-or-adapter-contract","https://github.com/a2aproject/A2A","previously_unverified","normalized","living-repo","GitHub a2aproject/A2A main@4374b824a9cf; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-a2a-spec","protocol","official-spec","A","field-schema-or-adapter-contract","https://a2a-protocol.org/latest/specification/","previously_unverified","normalized","living-spec-or-standard","A2A latest specification v1.0; checked 2026-06-30","official-version-map","Official A2A latest specification; v1.0 field and migration sections verified."
"eng-proto-agent-protocol","protocol","spec","B","field-schema-or-adapter-contract","https://langchain-ai.github.io/agent-protocol/","previously_unverified","normalized","living-spec-or-standard","Agent Protocol docs current; checked 2026-06-30","official-doc-url-normalization","Agent Protocol documentation is versionless; cite with last_checked date."
"eng-proto-asyncapi","protocol","standard","A","field-schema-or-adapter-contract","https://www.asyncapi.com/docs/reference/specification/latest","previously_unverified","normalized","living-spec-or-standard","AsyncAPI Specification 3.1.0; latest checked 2026-06-30","official-version-map","Latest specification URL redirects to v3.1.0; cite as versioned standard."
"eng-proto-cloudevents","protocol","standard","A","field-schema-or-adapter-contract","https://github.com/cloudevents/spec","previously_unverified","normalized","living-spec-or-standard","CloudEvents core v1.0.2; checked 2026-06-30","official-version-map","CloudEvents repo lists core specification latest release v1.0.2; use stable spec, not working draft, for fields."
"eng-proto-jsonrpc","protocol","standard","A","field-schema-or-adapter-contract","https://www.jsonrpc.org/specification","previously_unverified","normalized","living-spec-or-standard","JSON-RPC 2.0; checked 2026-06-30","official-version-map","Stable JSON-RPC 2.0 specification; cite as protocol binding baseline."
"eng-proto-mcp-repo","protocol","repo","A","field-schema-or-adapter-contract","https://github.com/modelcontextprotocol/modelcontextprotocol","previously_unverified","normalized","living-repo","GitHub modelcontextprotocol/modelcontextprotocol main@c87328cceac4; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-openapi","protocol","standard","A","field-schema-or-adapter-contract","https://spec.openapis.org/oas/latest.html","previously_unverified","normalized","living-spec-or-standard","OpenAPI Specification 3.2.0, 2025-09-19; checked 2026-06-30","official-version-map","Latest OpenAPI specification page identifies v3.2.0 and publication date 2025-09-19."
"eng-proto-agent-client","protocol-client","spec","A","field-schema-or-adapter-contract","https://agentclientprotocol.com/","previously_unverified","normalized","living-spec-or-standard","Agent Client Protocol v1 Latest; checked 2026-06-30","official-version-map","ACP docs navigation identifies protocol v1 Latest; cite with last_checked date."
"eng-proto-agent-client-repo","protocol-client","repo","A","field-schema-or-adapter-contract","https://github.com/zed-industries/agent-client-protocol","previously_unverified","normalized","living-repo","GitHub zed-industries/agent-client-protocol main@6f806cb0f7fd; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-a2a-js","protocol-sdk","repo","A","field-schema-or-adapter-contract","https://github.com/a2aproject/a2a-js","previously_unverified","normalized","living-repo","GitHub a2aproject/a2a-js main@55cd0814bc7d; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-a2a-python","protocol-sdk","repo","A","field-schema-or-adapter-contract","https://github.com/a2aproject/a2a-python","previously_unverified","normalized","living-repo","GitHub a2aproject/a2a-python main@e7eafe3999f4; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-mcp-python-sdk","protocol-sdk","repo","A","field-schema-or-adapter-contract","https://github.com/modelcontextprotocol/python-sdk","previously_unverified","normalized","living-repo","GitHub modelcontextprotocol/python-sdk main@b15b1d5f07f1; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-mcp-ts-sdk","protocol-sdk","repo","A","field-schema-or-adapter-contract","https://github.com/modelcontextprotocol/typescript-sdk","previously_unverified","normalized","living-repo","GitHub modelcontextprotocol/typescript-sdk main@6cc7b1cb66ca; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-mcp-inspector","protocol-tool","repo","B","field-schema-or-adapter-contract","https://github.com/modelcontextprotocol/inspector","previously_unverified","normalized","living-repo","GitHub modelcontextprotocol/inspector main@638f2bfa5b90; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-a2ui-mcp","protocol-ui","guide","A","field-schema-or-adapter-contract","https://github.com/google/A2UI/blob/main/docs/guides/a2ui_over_mcp.md","previously_unverified","normalized","living-guide","GitHub google/A2UI main@2c2e142c97ab; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote. URL points to a repository path; HEAD captured for repository, not path-specific history."
"eng-proto-a2ui-repo","protocol-ui","repo","A","field-schema-or-adapter-contract","https://github.com/google/A2UI","previously_unverified","normalized","living-repo","GitHub google/A2UI main@2c2e142c97ab; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-ag-ui","protocol-ui","official-doc","A","field-schema-or-adapter-contract","https://docs.ag-ui.com/","previously_unverified","normalized","living-doc","AG-UI documentation current; checked 2026-06-30","official-version-map","Official AG-UI docs are living/versionless; protocol concepts and field groups require last_checked date."
"eng-proto-ag-ui-repo","protocol-ui","repo","A","field-schema-or-adapter-contract","https://github.com/ag-ui-protocol/ag-ui","previously_unverified","normalized","living-repo","GitHub ag-ui-protocol/ag-ui main@07bc31c8a37e; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-proto-copilotkit","protocol-ui","docs","B","field-schema-or-adapter-contract","https://docs.copilotkit.ai/","previously_unverified","normalized","living-doc","CopilotKit docs current; checked 2026-06-30","official-doc-url-normalization","Official CopilotKit docs are versionless living docs; cite with last_checked date."
"eng-state-statechartx","statecharts","repo","C","field-schema-or-adapter-contract","https://github.com/comalice/statechartx/tree/dev-docs-rework","previously_unverified","normalized","living-repo","GitHub comalice/statechartx master@dfd2c44d07e1; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote. URL points to a repository path; HEAD captured for repository, not path-specific history."
"eng-state-stately-studio","statecharts","official-doc","B","field-schema-or-adapter-contract","https://stately.ai/","previously_unverified","normalized","living-doc","Stately Studio site current; checked 2026-06-30","official-doc-url-normalization","Official Stately site; adapter UI evidence only, cite with last_checked date."
"eng-state-uml","statecharts","standard","B","field-schema-or-adapter-contract","https://www.omg.org/spec/UML/","previously_unverified","normalized","living-spec-or-standard","OMG UML specification index; checked 2026-06-30","official-doc-url-normalization","OMG UML specification index is a version catalog; downstream schema work must pin a concrete UML version if normative."
"eng-state-xstate-graph","statecharts","official-doc","A","field-schema-or-adapter-contract","https://stately.ai/docs/graph","previously_unverified","normalized","living-doc","XState graph docs current; checked 2026-06-30","official-doc-url-normalization","Official Stately/XState graph docs; cite with last_checked date."
"eng-state-xstate-releases","statecharts","repo/release","A","field-schema-or-adapter-contract","https://github.com/statelyai/xstate/releases","previously_unverified","normalized","living-release-index","Release index for statelyai/xstate; repo main@cc087bf52cbe; checked 2026-06-30","git-ls-remote-release-index","GitHub releases index normalized against repository HEAD; pin concrete release tag before using as normative schema evidence."
"eng-state-xstate-repo","statecharts","repo","A","field-schema-or-adapter-contract","https://github.com/statelyai/xstate","previously_unverified","normalized","living-repo","GitHub statelyai/xstate main@cc087bf52cbe; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-state-xstate-scxml","statecharts","official-doc","A","field-schema-or-adapter-contract","https://statelyai-xstate.mintlify.app/advanced/scxml","previously_unverified","normalized","living-doc","XState SCXML docs current; checked 2026-06-30","official-doc-url-normalization","Official XState SCXML documentation; cite with last_checked date."
"eng-val-ajv-docs","validation","official-doc","A","field-schema-or-adapter-contract","https://ajv.js.org/","previously_unverified","normalized","living-doc","Ajv current docs; JSON Schema draft 2020-12 support checked 2026-06-30","official-version-map","Official Ajv docs list out-of-box support for JSON Schema drafts including 2020-12."
"eng-val-ajv-repo","validation","repo","A","field-schema-or-adapter-contract","https://github.com/ajv-validator/ajv","previously_unverified","normalized","living-repo","GitHub ajv-validator/ajv master@f177fe323420; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-val-cue-docs","validation","official-doc","B","field-schema-or-adapter-contract","https://cuelang.org/docs/","previously_unverified","normalized","living-doc","CUE docs current; checked 2026-06-30","official-doc-url-normalization","Official CUE docs are versionless living docs; cite with last_checked date."
"eng-val-cue-openapi","validation","official-doc","B","field-schema-or-adapter-contract","https://cuelang.org/docs/concept/how-cue-works-with-openapi/","previously_unverified","normalized","living-doc","CUE OpenAPI concept docs; checked 2026-06-30","official-doc-url-normalization","Official CUE/OpenAPI concept documentation; cite with last_checked date."
"eng-val-jena-shacl","validation","official-doc","B","field-schema-or-adapter-contract","https://jena.apache.org/documentation/shacl/","previously_unverified","normalized","living-doc","Apache Jena SHACL docs current; checked 2026-06-30","official-doc-url-normalization","Official Apache Jena SHACL docs; cite with last_checked date."
"eng-val-jsonschema-test-suite","validation","repo","A","field-schema-or-adapter-contract","https://github.com/json-schema-org/JSON-Schema-Test-Suite","previously_unverified","normalized","living-repo","GitHub json-schema-org/JSON-Schema-Test-Suite main@1acd90e53554; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-val-pydantic-core","validation","repo","A","field-schema-or-adapter-contract","https://github.com/pydantic/pydantic-core","previously_unverified","normalized","living-repo","GitHub pydantic/pydantic-core main@383eb95a1943; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-val-pyshacl","validation","repo","B","field-schema-or-adapter-contract","https://github.com/RDFLib/pySHACL","previously_unverified","normalized","living-repo","GitHub RDFLib/pySHACL master@5b46638cadde; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-val-python-jsonschema","validation","official-doc","B","field-schema-or-adapter-contract","https://python-jsonschema.readthedocs.io/en/stable/","previously_unverified","normalized","living-doc","python-jsonschema stable docs; checked 2026-06-30","official-doc-url-normalization","ReadTheDocs stable documentation path; cite with last_checked date."
"eng-val-typebox-docs","validation","official-doc","A","field-schema-or-adapter-contract","https://sinclairzx81.github.io/typebox/","previously_unverified","normalized","living-doc","TypeBox current docs; checked 2026-06-30","official-version-map","Official TypeBox docs are versionless living docs; cite with last_checked date."
"eng-val-typebox-repo","validation","repo","A","field-schema-or-adapter-contract","https://github.com/sinclairzx81/typebox","previously_unverified","normalized","living-repo","GitHub sinclairzx81/typebox main@400f6e0f6788; checked 2026-06-30","git-ls-remote-head","Default branch HEAD captured via git ls-remote."
"eng-val-zod-docs","validation","official-doc","A","field-schema-or-adapter-contract","https://zod.dev/","previously_unverified","normalized","living-doc","Zod v4 docs via Context7; checked 2026-06-30","official-version-map","Context7 verified Zod v4 first-party z.toJSONSchema support; cite as generated profile evidence."
"eng-val-zod-release-430","validation","release-note","A","field-schema-or-adapter-contract","https://github.com/colinhacks/zod/releases/tag/v4.3.0","previously_unverified","normalized","living-release","Git tag v4.3.0@1899684fc34d; checked 2026-06-30","git-ls-remote-tag","Version tag verified via git ls-remote; use as version-specific release source."
"eng-fw-pydantic-graph","workflow","official-doc","B","adjacent-agent-schema-evidence","https://ai.pydantic.dev/graph/","previously_unverified","normalized","living-doc","Pydantic AI docs current; checked 2026-06-30","official-doc-url-normalization","Official Pydantic AI docs are versionless living docs; cite with last_checked date."
