"id","area","title","year","source_type","url","venue_upgrade_status","counts_as_top_venue","last_checked","note"
"lit-agent-paramanager","orchestration-learning","Small Model as Master Orchestrator","2026","arXiv","https://arxiv.org/pdf/2604.17009","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-agent-toolorchestra","orchestration-learning","ToolOrchestra","2026","ICLR","https://openreview.net/pdf/a99d11745db82cbe0860c9c778e8d463f86f4578.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-survey-agent-orchestration","orchestration-survey","LLM-Based Multi-Agent Orchestration","2026","survey","https://www.mdpi.com/1999-5903/18/6/326","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-mech-recap","planning","RECAP: Recursive Context-Aware Reasoning and Planning","2025","NeurIPS","https://proceedings.neurips.cc/paper_files/paper/2025/file/88af3540325dd0b70617a9ab605f294d-Paper-Conference.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-deepplanning","planning-benchmark","DEEPPLANNING","2026","ACL","https://aclanthology.org/2026.acl-long.335.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-deepplanning","planning-benchmark","DeepPlanning","2026","ACL","https://aclanthology.org/2026.acl-long.335/","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-carl","planning-rl","CARL: Constraint-Aware Reinforcement Learning for Planning with LLMs","2026","Findings ACL","https://aclanthology.org/2026.findings-acl.1069.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-pnlc","planning-rl","Planning without Search","2025","NeurIPS","https://proceedings.neurips.cc/paper_files/paper/2025/file/0e87f947391341256517bdc5d206e539-Paper-Conference.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-survey-plangenllms","planning-survey","PlanGenLLMs","2025","ACL","https://aclanthology.org/anthology-files/anthology-files/pdf/acl/2025.acl-long.958.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-msb","protocol-security","MCP Security Bench","2025","arXiv","https://arxiv.org/pdf/2510.15994","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-agent-etom","protocol-tool-use","ETOM: Five-Level Benchmark for Tool Orchestration within the MCP Ecosystem","2026","EACL Findings","https://aclanthology.org/2026.findings-eacl.75.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-mcp-flow","protocol-tool-use","MCP-Flow","2026","ACL listing","https://2026.aclweb.org/program/accepted_papers/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-mech-cot","reasoning","Chain-of-Thought Prompting Elicits Reasoning in Large Language Models","2022","NeurIPS","https://proceedings.neurips.cc/paper_files/paper/2022/file/9d5609613524ecf4f15af0f7b31abca4-Paper-Conference.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-least-to-most","reasoning","Least-to-Most Prompting Enables Complex Reasoning","2023","ICLR","https://webdocs.cs.ualberta.ca/~dale/papers/iclr23a.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-pal","reasoning","PAL: Program-Aided Language Models","2023","ICML","https://arxiv.org/abs/2211.10435","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-plan-solve","reasoning","Plan-and-Solve Prompting","2023","ACL","https://aclanthology.org/2023.acl-long.147.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-pot","reasoning","Program of Thoughts Prompting","2023","paper","https://arxiv.org/abs/2211.12588","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-self-consistency","reasoning","Self-Consistency Improves Chain of Thought Reasoning","2022","paper","https://arxiv.org/pdf/2203.11171","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-step-back","reasoning","Take a Step Back: Evoking Reasoning via Abstraction","2024","paper","https://arxiv.org/abs/2310.06117","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-zero-shot-cot","reasoning","Large Language Models are Zero-Shot Reasoners","2022","paper","https://arxiv.org/abs/2205.11916","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-mor","reasoning-modality","Mixture of Reasonings","2025","paper","https://arxiv.org/html/2507.00606","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-mot-logical","reasoning-modality","Learning to Reason via Mixture-of-Thought","2025","paper","https://arxiv.org/pdf/2505.15817","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-exact","reasoning-planning","ExACT: Reflective-MCTS and Exploratory Learning","2024","paper","https://arxiv.org/html/2410.02052","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-lats","reasoning-planning","Language Agent Tree Search","2024","ICML","https://proceedings.mlr.press/v235/zhou24r.html","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-rafa","reasoning-planning","Reason for Future, Act for Now","2024","ICML","https://proceedings.mlr.press/v235/liu24ab.html","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-rap","reasoning-planning","Reasoning via Planning","2023","paper","https://arxiv.org/abs/2305.14992","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-got","reasoning-search","Graph of Thoughts","2023","paper","https://export.arxiv.org/pdf/2308.09687v2","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-tot","reasoning-search","Tree of Thoughts","2023","NeurIPS","https://proceedings.neurips.cc/paper/2023/file/271db9922b8d1f4dd7aaef84ed5ac703-Paper-Conference.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-demystifying-topologies","reasoning-survey","Demystifying Chains, Trees, and Graphs of Thoughts","2024","survey","https://arxiv.org/html/2401.14295v4","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-mech-prompt-report","reasoning-survey","The Prompt Report","2024","survey","https://arxiv.org/html/2406.06608v6","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-mech-advocate","reflection","ADVOCATE: Anticipatory Reflection for LLM Agents","2024","Findings EMNLP","https://aclanthology.org/2024.findings-emnlp.53.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-reflact","reflection","ReflAct: World-Grounded Decision Making via Goal-State Reflection","2025","EMNLP","https://aclanthology.org/2025.emnlp-main.1697/","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-plan-rewardbench","reward-modeling","Plan-RewardBench","2026","ACL","https://aclanthology.org/2026.acl-long.1062/","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mas-aios","runtime","AIOS: LLM Agent Operating System","2025","COLM","https://openreview.net/attachment?id=L4HHkCDz2x&name=pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-search-o1","search-tool-use","Search-o1","2025","EMNLP listing","https://2025.emnlp.org/program/main_papers/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-agent-aciaarena","security","ACIArena","2026","arXiv","https://arxiv.org/pdf/2604.07775","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-agent-asb","security","Agent Security Bench","2025","ICLR","https://openreview.net/forum?id=V4y0CpX4hK","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-conjunctive-prompt-attacks","security","Conjunctive Prompt Attacks in Multi-Agent LLM Systems","2026","ACL","https://aclanthology.org/2026.acl-long.1577.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-guardagent","security","GuardAgent","2025","ICML","https://proceedings.mlr.press/v267/xiang25a.html","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-maspi","security","MASPI","2026","OpenReview","https://openreview.net/pdf?id=1khmNRuIf9","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-safeagent","security","SafeAgent","2026","ACL","https://aclanthology.org/2026.acl-long.1501.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-toolsafe","security","ToolSafe","2026","ACL Findings","https://aclanthology.org/2026.findings-acl.1850.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-trojantools","security","TrojanTools","2026","OpenReview","https://openreview.net/pdf/d28c9b8559a20b19a1ecacc0bb31c0a41f89bcfe.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-under-siege","security","Agents Under Siege","2025","ACL","https://aclanthology.org/anthology-files/anthology-files/pdf/acl/2025.acl-long.476.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-vigil-siren","security","VIGIL: Defending LLM Agents Against Tool Stream Injection","2026","ACL","https://aclanthology.org/2026.acl-long.443.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-security-evo-attacker","security","Evo-Attacker","2026","ACL listing","https://2026.aclweb.org/program/accepted_papers/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-security-ipiguard","security","IPIGuard","2025","EMNLP listing","https://2025.emnlp.org/program/main_papers/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-security-mas-code","security","Multi-Agent Systems Execute Arbitrary Malicious Code","2025","COLM","https://openreview.net/forum?id=DAozI4etUp","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-security-wasp","security","WASP","2025","NeurIPS list","https://cua.ai/blog/neurips-2025-cua-papers","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mas-generative-agents","simulation","Generative Agents","2023","UIST","https://doi.org/10.1145/3586183.3606763","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-state-stateflow","statecharts","StateFlow","2024","COLM","https://openreview.net/forum?id=3nTbuygoop","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-state-metaagent","statecharts-mas","MetaAgent","2025","ICML","https://proceedings.mlr.press/v267/zhang25bc.html","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-agent-perspectivegap","subagent-prompting","PerspectiveGap","2026","arXiv","https://arxiv.org/html/2606.08878","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-agent-tooltree","tool-planning","ToolTree","2026","ICLR paper","https://openreview.net/forum?id=Ef5O9gNNLE","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-octotools","tool-planning","OctoTools","2026","ACL","https://aclanthology.org/2026.acl-long.1.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-topt","tool-planning","Cost-Aware Optimal Tool-Chain Planning","2026","Findings ACL","https://aclanthology.org/2026.findings-acl.860.pdf","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-deepagent","tool-use","DeepAgent","2026","WWW","https://arxiv.org/html/2510.21618v3","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-api-bank","tool-use","API-Bank","2023","EMNLP","https://arxiv.org/abs/2304.08244","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-gorilla","tool-use","Gorilla: Large Language Model Connected with Massive APIs","2023","NeurIPS","https://arxiv.org/abs/2305.15334","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-mrkl","tool-use","MRKL Systems","2022","paper","https://arxiv.org/abs/2205.00445","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-tool-stabletoolbench","tool-use","StableToolBench","2024","paper","https://arxiv.org/abs/2403.07714","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-tool-toolformer","tool-use","Toolformer","2023","NeurIPS","https://arxiv.org/abs/2302.04761","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-toollm","tool-use","ToolLLM / ToolBench","2023","ICLR","https://arxiv.org/abs/2307.16789","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-tool-toolsandbox","tool-use","ToolSandbox","2024","paper","https://arxiv.org/abs/2410.11042","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-mech-autotool","tool-use-rl","AutoTool","2026","ICLR","https://openreview.net/pdf?id=52c4trAbmd","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-long-short-tool-rl","tool-use-rl","Entropy-Based Long-Short Reasoning Fusion for Tool Use","2026","ICLR","https://openreview.net/pdf?id=zFkopTvclB","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-mech-tool-use-evolution","tool-use-survey","The Evolution of Tool Use in LLM Agents","2026","survey","https://arxiv.org/pdf/2603.22862","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-val-jsonschema-foundations","validation","Foundations of JSON Schema","2016","WWW","https://doi.org/10.1145/2872427.2883029","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-val-jsonschema-ietf","validation","IETF JSON Schema draft","2026","IETF draft","https://datatracker.ietf.org/doc/html/draft-ietf-jsonschema-json-schema-01","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-val-jsonschema-spec","validation","JSON Schema Validation Specification","2026","specification","https://github.com/json-schema-org/json-schema-spec/blob/main/specs/jsonschema-validation.md","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-val-shacl","validation","SHACL Recommendation","2017","W3C standard","https://www.w3.org/TR/shacl/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-val-shacl-af","validation","SHACL Advanced Features","2017","W3C note","https://www.w3.org/TR/shacl-af/","not-top-venue-paper-row","no","2026-06-30","Not a top-conference paper row under current rule."
"lit-gui-mind2web","web-agent","Mind2Web","2023","NeurIPS","https://arxiv.org/abs/2306.06070","venue-verified","yes","2026-06-30","Counts under current strict venue-coded rule."
"lit-gui-online-mind2web","web-agent","Online-Mind2Web","2025","paper","https://arxiv.org/abs/2504.01382","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
"lit-gui-weboperator","web-agent","WebOperator","2026","repo/paper","https://github.com/kagnlp/WebOperator","needs-venue-check","no","2026-06-30","Do not count as top venue until official venue is verified."
