"Node","Path","Positive","Counterexample","Boundary","Instance"
"safety-plane","node.yaml","mcp_consent","mcp_oauth","nist_zta","openai_hitl"
"safety-injection-defense","safety-injection-defense\node.yaml","echoleak","owasp_direct","greshake_bing","openai_guardrail"
"PromptInjectionSignal","safety-injection-defense\ThreatSignal\PromptInjectionSignal\node.yaml","owasp_direct","lakera","simon_willison","rebuff"
"IndirectInjectionSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\node.yaml","echoleak","greshake_bing","cve_email_assistant","owasp_direct"
"ToolStreamInjectionSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\ToolStreamInjectionSignal\node.yaml","cve_email_assistant","greshake_bing","mcp_oauth","lakera"
"MemoryPoisoningSignal","safety-injection-defense\ThreatSignal\IndirectInjectionSignal\MemoryPoisoningSignal\node.yaml","greshake_bing","echoleak","simon_willison","nemo"
"PersistentContextRisk","safety-injection-defense\ThreatSignal\PersistentContextRisk\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"ThreatSignal","safety-injection-defense\ThreatSignal\node.yaml","owasp_direct","echoleak","lakera","greshake_bing"
"DefenseFinding","safety-injection-defense\DefenseFinding\node.yaml","lakera","nemo","rebuff","openai_guardrail"
"InjectionScanResult","safety-injection-defense\DefenseFinding\InjectionScanResult\node.yaml","lakera","rebuff","nemo","owasp_direct"
"InstructionConflict","safety-injection-defense\DefenseFinding\InstructionConflict\node.yaml","greshake_bing","owasp_direct","simon_willison","echoleak"
"ToolDescriptionTrust","safety-injection-defense\DefenseFinding\ToolDescriptionTrust\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"DetectionActivity","safety-injection-defense\DetectionActivity\node.yaml","lakera","rebuff","nemo","openai_guardrail"
"PatternScan","safety-injection-defense\DetectionActivity\PatternScan\node.yaml","rebuff","lakera","nemo","owasp_direct"
"PreExecutionSafetyCheck","safety-injection-defense\DetectionActivity\PreExecutionSafetyCheck\node.yaml","openai_guardrail","nemo","lakera","owasp_direct"
"MitigationAction","safety-injection-defense\MitigationAction\node.yaml","nemo","openai_guardrail","echoleak","greshake_bing"
"QuarantineAction","safety-injection-defense\MitigationAction\QuarantineAction\node.yaml","echoleak","greshake_bing","nemo","openai_guardrail"
"SanitizationAction","safety-injection-defense\MitigationAction\SanitizationAction\node.yaml","nemo","presidio","openai_guardrail","greshake_bing"
"TrustedInstructionOverride","safety-injection-defense\MitigationAction\TrustedInstructionOverride\node.yaml","openai_guardrail","nemo","owasp_direct","simon_willison"
"PoisonedContent","safety-injection-defense\PoisonedContent\node.yaml","greshake_bing","echoleak","cve_email_assistant","owasp_direct"
"PoisonedRetrievedChunk","safety-injection-defense\PoisonedContent\PoisonedRetrievedChunk\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"PoisonedToolDescription","safety-injection-defense\PoisonedContent\PoisonedToolDescription\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"MaliciousToolOutput","safety-injection-defense\PoisonedContent\MaliciousToolOutput\node.yaml","cve_email_assistant","echoleak","greshake_bing","mcp_oauth"
"ResourceContentPoisoning","safety-injection-defense\ResourceContentPoisoning\node.yaml","greshake_bing","echoleak","simon_willison","owasp_direct"
"ToolSchemaPoisoning","safety-injection-defense\ResourceContentPoisoning\ToolSchemaPoisoning\node.yaml","mcp_oauth","simon_willison","greshake_bing","owasp_direct"
"UntrustedInstructionCandidate","safety-injection-defense\UntrustedInstructionCandidate\node.yaml","owasp_direct","greshake_bing","lakera","simon_willison"
"InjectionSignature","safety-injection-defense\InjectionSignature\node.yaml","rebuff","lakera","owasp_direct","nemo"
"UnsafeArgumentPattern","safety-injection-defense\InjectionSignature\UnsafeArgumentPattern\node.yaml","owasp_direct","lakera","rebuff","nemo"
"TaintedSource","safety-injection-defense\TaintEntity\TaintedSource\node.yaml","greshake_bing","echoleak","cve_email_assistant","owasp_direct"
"TaintedSpan","safety-injection-defense\TaintEntity\TaintedSpan\node.yaml","echoleak","greshake_bing","presidio","owasp_direct"
"TaintPropagation","safety-injection-defense\TaintPropagation\node.yaml","greshake_bing","echoleak","simon_willison","openai_guardrail"
"SourceSinkFlow","safety-injection-defense\SourceSinkFlow\node.yaml","greshake_bing","echoleak","openai_source_sink","owasp_direct"
"RiskFlowRole","safety-injection-defense\RiskFlowRole\node.yaml","greshake_bing","echoleak","openai_source_sink","owasp_direct"
"RiskSource","safety-injection-defense\RiskFlowRole\RiskSource\node.yaml","greshake_bing","echoleak","owasp_direct","cve_email_assistant"
"RiskSink","safety-injection-defense\RiskFlowRole\RiskSink\node.yaml","echoleak","greshake_bing","cve_email_assistant","openai_hitl"
"safety-permission-policy","safety-permission-policy\node.yaml","opa","mcp_oauth","cedar","openai_hitl"
"PolicySpecification","safety-permission-policy\PolicySpecification\node.yaml","opa","cedar","nist_zta","mcp_oauth"
"PolicyRule","safety-permission-policy\PolicySpecification\PolicyRule\node.yaml","opa","cedar","nist_zta","mcp_oauth"
"PolicyCondition","safety-permission-policy\PolicySpecification\PolicyRule\PolicyCondition\node.yaml","opa","cedar","mcp_oauth","nist_zta"
"PolicyEffect","safety-permission-policy\PolicySpecification\PolicyRule\PolicyEffect\node.yaml","cedar","opa","nist_zta","mcp_oauth"
"PolicyException","safety-permission-policy\PolicySpecification\PolicyRule\PolicyException\node.yaml","opa","cedar","mcp_oauth","openai_hitl"
"PolicyCombiningAlgorithm","safety-permission-policy\PolicySpecification\PolicyCombiningAlgorithm\node.yaml","opa","cedar","nist_zta","opa"
"PolicyEvaluation","safety-permission-policy\PolicyEvaluation\node.yaml","opa","cedar","envoy_ext_auth","nist_zta"
"PolicyDecision","safety-permission-policy\PolicyDecision\node.yaml","cedar","opa","nist_zta","mcp_oauth"
"AllowDecision","safety-permission-policy\PolicyDecision\AllowDecision\node.yaml","cedar","opa","mcp_oauth","openai_hitl"
"DenyDecision","safety-permission-policy\PolicyDecision\DenyDecision\node.yaml","cedar","opa","mcp_oauth","nist_zta"
"AuthorizationRequest","safety-permission-policy\AuthorizationRequest\node.yaml","mcp_oauth","cedar","opa","nist_zta"
"AuthorizationEvent","safety-permission-policy\AuthorizationEvent\node.yaml","mcp_oauth","cedar","nist_zta","opa"
"AuthorizationRevocation","safety-permission-policy\AuthorizationEvent\AuthorizationRevocation\node.yaml","nist_zta","mcp_oauth","cedar","opa"
"AuthorizationCredential","safety-permission-policy\AuthorizationCredential\node.yaml","mcp_oauth","cedar","nist_zta","opa"
"CapabilityCredential","safety-permission-policy\AuthorizationCredential\CapabilityCredential\node.yaml","mcp_oauth","cedar","nist_zta","opa"
"HumanApproval","safety-permission-policy\HumanApproval\node.yaml","openai_hitl","langgraph_interrupt","mcp_consent","cedar"
"ManualReviewRequired","safety-permission-policy\ManualReviewRequired\node.yaml","openai_hitl","langgraph_interrupt","mcp_consent","nist_zta"
"ToolApprovalRequirement","safety-permission-policy\ToolApprovalRequirement\node.yaml","openai_hitl","mcp_consent","langgraph_interrupt","cedar"
"PermissionPrompt","safety-permission-policy\PermissionPrompt\node.yaml","mcp_consent","openai_hitl","langgraph_interrupt","cedar"
"PermissionResponse","safety-permission-policy\PermissionResponse\node.yaml","mcp_consent","openai_hitl","langgraph_interrupt","cedar"
"PermissionScope","safety-permission-policy\PermissionScope\node.yaml","mcp_oauth","cedar","opa","nist_zta"
"safety-sandbox-isolation","safety-sandbox-isolation\node.yaml","e2b","openai_code_interpreter","firecracker","docker_privileged"
"IsolationSpecification","safety-sandbox-isolation\IsolationSpecification\node.yaml","e2b","openai_code_interpreter","firecracker","docker_privileged"
"Sandbox","safety-sandbox-isolation\Sandbox\node.yaml","e2b","openai_code_interpreter","firecracker","docker_privileged"
"FilesystemPolicy","safety-sandbox-isolation\IsolationSpecification\FilesystemPolicy\node.yaml","e2b","openai_code_interpreter","docker_privileged","firecracker"
"ProcessPolicy","safety-sandbox-isolation\IsolationSpecification\ProcessPolicy\node.yaml","docker_privileged","firecracker","e2b","openai_code_interpreter"
"SandboxEscapeRisk","safety-sandbox-isolation\SandboxEscapeRisk\node.yaml","docker_privileged","e2b","firecracker","simon_willison"
"safety-trust-boundary","safety-trust-boundary\node.yaml","nist_zta","anthropic_cai","envoy_ext_auth","mcp_oauth"
"TrustZone","safety-trust-boundary\TrustZone\node.yaml","nist_zta","anthropic_cai","envoy_ext_auth","mcp_oauth"
"TrustBoundary","safety-trust-boundary\TrustBoundary\node.yaml","nist_zta","envoy_ext_auth","anthropic_cai","mcp_oauth"
"InternalTrustBoundary","safety-trust-boundary\TrustBoundary\InternalTrustBoundary\node.yaml","nist_zta","anthropic_cai","envoy_ext_auth","cedar"
"ExternalTrustBoundary","safety-trust-boundary\TrustBoundary\ExternalTrustBoundary\node.yaml","nist_zta","mcp_oauth","envoy_ext_auth","anthropic_cai"
"BoundaryCrossing","safety-trust-boundary\BoundaryCrossing\node.yaml","nist_zta","mcp_oauth","envoy_ext_auth","anthropic_cai"
"safety-disclosure-redaction","safety-disclosure-redaction\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"DisclosureSpecification","safety-disclosure-redaction\DisclosureSpecification\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"DisclosureRule","safety-disclosure-redaction\DisclosureSpecification\DisclosureRule\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"RedactionRule","safety-disclosure-redaction\DisclosureSpecification\DisclosureRule\RedactionRule\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"DisclosureControlActivity","safety-disclosure-redaction\DisclosureControlActivity\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"Redaction","safety-disclosure-redaction\DisclosureControlActivity\Redaction\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"DisclosureFilter","safety-disclosure-redaction\DisclosureControlActivity\DisclosureFilter\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"StagedDisclosure","safety-disclosure-redaction\DisclosureControlActivity\StagedDisclosure\node.yaml","presidio","google_dlp","anthropic_cai","openai_guardrail"
"SensitiveSpan","safety-disclosure-redaction\SensitiveSpan\node.yaml","presidio","google_dlp","anthropic_cai","echoleak"
"safety-network-control","safety-network-control\node.yaml","k8s_netpol","owasp_ssrf","envoy_ext_auth","k8s_netpol"
"NetworkPolicy","safety-network-control\NetworkPolicy\node.yaml","k8s_netpol","owasp_ssrf","envoy_ext_auth","k8s_netpol"
"NetworkEndpoint","safety-network-control\NetworkEndpoint\node.yaml","envoy_ext_auth","k8s_netpol","owasp_ssrf","mcp_oauth"
"Proxy","safety-network-control\NetworkEndpoint\Proxy\node.yaml","envoy_ext_auth","owasp_ssrf","k8s_netpol","mcp_oauth"
"HTTPProxy","safety-network-control\NetworkEndpoint\Proxy\HTTPProxy\node.yaml","envoy_ext_auth","owasp_ssrf","k8s_netpol","opa"
"SOCKSProxy","safety-network-control\NetworkEndpoint\Proxy\SOCKSProxy\node.yaml","envoy_ext_auth","owasp_ssrf","k8s_netpol","opa"
"NetworkRoute","safety-network-control\NetworkRoute\node.yaml","k8s_netpol","envoy_ext_auth","owasp_ssrf","k8s_netpol"
"ProxyRoute","safety-network-control\NetworkRoute\ProxyRoute\node.yaml","envoy_ext_auth","k8s_netpol","owasp_ssrf","opa"
"NetworkMessage","safety-network-control\NetworkMessage\node.yaml","owasp_ssrf","k8s_netpol","envoy_ext_auth","cve_email_assistant"
"OutboundRequest","safety-network-control\NetworkMessage\OutboundRequest\node.yaml","owasp_ssrf","k8s_netpol","envoy_ext_auth","greshake_bing"
"InboundResponse","safety-network-control\NetworkMessage\InboundResponse\node.yaml","greshake_bing","cve_email_assistant","owasp_ssrf","echoleak"
"NetworkInteraction","safety-network-control\NetworkInteraction\node.yaml","k8s_netpol","owasp_ssrf","envoy_ext_auth","mcp_oauth"
"NetworkCall","safety-network-control\NetworkInteraction\NetworkCall\node.yaml","owasp_ssrf","k8s_netpol","greshake_bing","cve_email_assistant"
"safety-tool-approval-execution","safety-tool-approval-execution\node.yaml","openai_hitl","langgraph_interrupt","mcp_consent","cedar"
"ToolApprovalGate","safety-tool-approval-execution\ToolApprovalGate\node.yaml","openai_hitl","langgraph_interrupt","cedar","mcp_consent"
"PendingToolCall","safety-tool-approval-execution\PendingToolCall\node.yaml","openai_hitl","langgraph_interrupt","mcp_consent","cedar"
"ApprovalDecision","safety-tool-approval-execution\ApprovalDecision\node.yaml","openai_hitl","langgraph_interrupt","cedar","mcp_consent"
"RejectionDecision","safety-tool-approval-execution\RejectionDecision\node.yaml","openai_hitl","langgraph_interrupt","cedar","mcp_consent"
"SideEffect","safety-tool-approval-execution\SideEffect\node.yaml","openai_hitl","langgraph_interrupt","echoleak","greshake_bing"
"ToolResultRecord","safety-tool-approval-execution\ToolResultRecord\node.yaml","mcp_oauth","openai_hitl","cve_email_assistant","greshake_bing"
